repo_name,number_of_stars,descriptions,project_date,project_size,project_lang,last_updated,#_of_fork,#_open_issue,project_score,#_of_watcher,num_contributors,num_releases,Total Versions,Total Contributors,len_contributors_url,len_subscribers_url,len_git_commits_url,len_comments_url,len_issue_comment_url,len_downloads_url,len_issues_url,len_pulls_url,network_count,subscribers_count
cookiecutter/cookiecutter,20468,"A cross-platform command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects, C projects.",2013-07-14T18:31:22Z,3088,Python,2023-10-24T00:24:05Z,1936,223,1.0,20468,2,2,40,268,67,66,72,72,79,64,70,69,1949,226
tiangolo/full-stack-fastapi-postgresql,13224,"Full stack, modern web application generator. Using FastAPI, PostgreSQL as database, Docker, automatic HTTPS and more.",2019-02-23T15:08:34Z,831,Python,2023-10-23T22:32:49Z,2419,229,1.0,13224,2,2,6,16,80,79,85,85,92,77,83,82,2432,199
cookiecutter/cookiecutter-django,10947,Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.,2013-08-14T17:43:31Z,8218,Python,2023-10-23T21:51:11Z,2724,93,1.0,10947,2,2,364,353,74,73,79,79,86,71,77,76,2729,192
drivendata/cookiecutter-data-science,7042,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.",2015-10-30T19:19:57Z,772,Python,2023-10-23T20:16:18Z,2241,53,1.0,7042,2,2,1,40,78,77,83,83,90,75,81,80,2245,118
cookiecutter-flask/cookiecutter-flask,4440,"A flask template with Bootstrap, asset bundling+minification with webpack, starter templates, and registration/authentication. For use with cookiecutter.",2013-08-16T07:27:55Z,3207,Python,2023-10-23T11:05:18Z,753,3,1.0,4440,2,2,21,62,79,78,84,84,91,76,82,81,752,85
audreyfeldroy/cookiecutter-pypackage,3979,Cookiecutter template for a Python package.,2013-07-14T18:52:05Z,569,Python,2023-10-23T11:05:08Z,1779,102,1.0,3979,2,2,1,108,78,77,83,83,90,75,81,80,1785,67
Buuntu/fastapi-react,1847,"🚀   Cookiecutter Template for FastAPI + React Projects.  Using PostgreSQL, SQLAlchemy, and Docker",2020-03-21T19:48:47Z,4396,Python,2023-10-23T16:03:24Z,303,44,1.0,1847,2,2,4,13,62,61,67,67,74,59,65,64,305,40
wemake-services/wemake-django-template,1830,Bleeding edge django template focused on code quality and security.,2017-09-14T09:23:23Z,5492,Python,2023-10-23T18:02:08Z,207,38,1.0,1830,2,2,3,40,80,79,85,85,92,77,83,82,208,35
cjolowicz/cookiecutter-hypermodern-python,1533,Hypermodern Python Cookiecutter,2020-02-07T12:08:01Z,4397,Python,2023-10-23T20:55:14Z,239,89,1.0,1533,2,2,23,17,83,82,88,88,95,80,86,85,239,19
agconti/cookiecutter-django-rest,1441,Build best practiced apis fast with Python3,2015-06-04T16:46:49Z,5041,Python,2023-10-23T11:10:01Z,188,6,1.0,1441,2,2,8,19,74,73,79,79,86,71,77,76,189,24
copier-org/copier,1305,Library and command-line utility for rendering projects templates.,2011-11-01T19:22:44Z,3405,Python,2023-10-23T12:11:34Z,138,57,1.0,1305,2,2,62,63,59,58,64,64,71,56,62,61,139,20
s3rius/FastAPI-template,1217,Feature rich robust FastAPI template.,2020-10-05T20:29:19Z,2394,Python,2023-10-24T01:17:39Z,112,21,1.0,1217,2,2,36,17,65,64,70,70,77,62,68,67,113,23
ionelmc/cookiecutter-pylibrary,1172,Enhanced cookiecutter template for Python libraries.,2014-05-28T14:14:29Z,1199,Python,2023-10-23T11:06:56Z,207,10,1.0,1172,2,2,21,42,72,71,77,77,84,69,75,74,207,23
TezRomacH/python-package-template,1021,🚀 Your next Python package needs a bleeding-edge project structure.,2020-04-15T14:53:29Z,1279,Python,2023-10-23T11:07:45Z,135,73,1.0,1021,2,2,23,12,75,74,80,80,87,72,78,77,137,8
cruft/cruft,1003,"Allows you to maintain all the necessary cruft for packaging and building projects separate from the code you intentionally write. Built on-top of, and fully compatible with, CookieCutter.",2019-09-22T05:07:07Z,1298,Python,2023-10-23T16:49:42Z,77,71,1.0,1003,2,2,19,36,53,52,58,58,65,50,56,55,77,12
rochacbruno/python-project-template,849,"DO NOT FORK, CLICK ON ""Use this template"" - A github template to start a Python Project - this uses github actions to generate your project based on the template.",2021-08-14T01:11:39Z,70,Makefile,2023-10-23T11:10:02Z,176,12,1.0,849,2,2,2,9,77,76,82,82,89,74,80,79,180,16
karec/cookiecutter-flask-restful,768,"Flask cookiecutter template for builing APIs with flask-restful, including JWT auth, cli, tests, swagger, docker and more",2016-07-26T16:29:49Z,155,Python,2023-10-23T11:16:18Z,184,12,1.0,768,2,2,0,8,74,73,79,79,86,71,77,76,184,17
italomaia/flask-empty,653,An empty project skeleton / boilerplate for flask projects. Powered by CookieCutter.,2011-10-26T03:31:18Z,237,Python,2023-10-22T17:22:02Z,92,9,1.0,653,2,2,17,12,63,62,68,68,75,60,66,65,92,13
lacion/cookiecutter-golang,635,A Go project template,2016-12-18T18:22:26Z,42,Go,2023-10-21T21:39:33Z,202,1,1.0,635,2,2,0,11,68,67,73,73,80,65,71,70,202,9
jacebrowning/template-python,616,My template for new Python libraries.,2013-10-18T21:51:51Z,729,Python,2023-10-23T11:05:38Z,130,7,1.0,616,2,2,0,6,70,69,75,75,82,67,73,72,130,20
sourcery-ai/python-best-practices-cookiecutter,613,Python best practices project cookiecutter 🍪,2019-07-29T15:02:31Z,16,Python,2023-10-23T13:19:03Z,143,12,1.0,613,2,2,0,6,88,87,93,93,100,85,91,90,146,8
