repo_name,total_issues,number_of_stars,descriptions,project_date,project_size,project_lang,last_updated,#_of_fork,#_open_issue,project_score,#_of_watcher,num_contributors,num_releases,Total Versions,Total Contributors,len_contributors_url,len_subscribers_url,len_git_commits_url,len_comments_url,len_issue_comment_url,len_downloads_url,N_issues
Rightpoint/ios-template,12,94,A `cookiecutter` template for iOS projects,2016-11-02T14:50:53Z,271990,Swift,2023-08-29T02:54:37Z,28,44,1,94,2,2,0,9,65,64,70,70,77,62,12
rochacbruno/flask-project-template,7,137,"DO NOT FORK, CLICK ""Use this template"" - A github template to start a Flask Project - this uses github actions to generate your project based on the template.",2021-08-16T23:59:08Z,66,Python,2023-10-23T16:44:38Z,22,3,1,137,2,2,0,3,76,75,81,81,88,73,7
rochacbruno/python-project-template,35,849,"DO NOT FORK, CLICK ON ""Use this template"" - A github template to start a Python Project - this uses github actions to generate your project based on the template.",2021-08-14T01:11:39Z,70,Makefile,2023-10-23T11:10:02Z,176,12,1,849,2,2,2,9,77,76,82,82,89,74,35
s3rius/FastAPI-template,190,1217,Feature rich robust FastAPI template.,2020-10-05T20:29:19Z,2394,Python,2023-10-24T01:17:39Z,112,21,1,1217,2,2,36,17,65,64,70,70,77,62,190
scientific-python/cookie,292,155,Scientific Python Library Development Guide and Cookiecutter,2021-01-03T18:46:50Z,902,Python,2023-10-17T18:52:57Z,31,6,1,155,2,2,10,22,66,65,71,71,78,63,292
simonw/click-app,7,129,Cookiecutter template for creating new Click command-line tools,2020-06-22T23:01:33Z,37,Python,2023-10-22T11:32:06Z,11,0,1,129,2,2,0,2,58,57,63,63,70,55,7
simonw/python-lib,4,105,Opinionated cookiecutter template for creating a new Python library,2020-09-06T15:04:44Z,50,Python,2023-10-07T04:22:11Z,7,0,1,105,2,2,0,2,59,58,64,64,71,56,4
sourcery-ai/python-best-practices-cookiecutter,23,613,Python best practices project cookiecutter 🍪,2019-07-29T15:02:31Z,16,Python,2023-10-23T13:19:03Z,143,12,1,613,2,2,0,6,88,87,93,93,100,85,23
TezRomacH/python-package-template,856,1021,🚀 Your next Python package needs a bleeding-edge project structure.,2020-04-15T14:53:29Z,1279,Python,2023-10-23T11:07:45Z,135,73,1,1021,2,2,23,12,75,74,80,80,87,72,856
thorgate/django-project-template,27,121,"Thorgate's Django project template - Django, React, Sass, optional Docker and more",2016-03-28T15:10:57Z,2375,JavaScript,2023-10-21T18:40:49Z,15,11,1,121,2,2,12,19,74,73,79,79,86,71,27
tiangolo/full-stack,8,519,"Full stack, modern web application generator. Using Flask, PostgreSQL DB, Docker, Swagger, automatic HTTPS and more.",2018-02-28T13:34:09Z,540,Python,2023-10-14T04:34:34Z,80,0,1,519,2,2,3,6,61,60,66,66,73,58,8
tiangolo/full-stack-fastapi-couchbase,21,414,"Full stack, modern web application generator. Using FastAPI, Couchbase as database, Docker, automatic HTTPS and more.",2018-12-11T07:53:25Z,923,Python,2023-10-21T14:02:58Z,86,0,1,414,2,2,6,6,79,78,84,84,91,76,21
tiangolo/full-stack-fastapi-postgresql,512,13224,"Full stack, modern web application generator. Using FastAPI, PostgreSQL as database, Docker, automatic HTTPS and more.",2019-02-23T15:08:34Z,831,Python,2023-10-23T22:32:49Z,2419,229,1,13224,2,2,6,16,80,79,85,85,92,77,512
vchaptsev/cookiecutter-django-vue,38,573,Cookiecutter Django Vue is a template for Django-Vue projects.,2017-10-22T17:19:04Z,435,Python,2023-10-20T11:20:28Z,103,10,1,573,2,2,4,9,75,74,80,80,87,72,38
vmchale/project-init,6,136,Project templates in rust,2017-04-30T03:17:53Z,79802,Rust,2023-09-28T10:41:04Z,13,10,1,136,2,2,142,2,62,61,67,67,74,59,6
wdm0006/cookiecutter-pipproject,2,80,A(nother) cookiecutter template for pip-installable python projects,2015-10-27T01:46:06Z,20,Python,2023-08-08T19:07:39Z,35,3,1,80,2,2,0,5,73,72,78,78,85,70,2
wemake-services/wemake-django-template,1405,1830,Bleeding edge django template focused on code quality and security.,2017-09-14T09:23:23Z,5492,Python,2023-10-23T18:02:08Z,207,38,1,1830,2,2,3,40,80,79,85,85,92,77,1405
wemake-services/wemake-python-package,476,393,Bleeding edge cookiecutter template to create new python packages,2018-10-16T06:57:06Z,1231,Python,2023-10-15T09:01:28Z,47,11,1,393,2,2,0,14,79,78,84,84,91,76,476
wildfish/wildfish-django-starter,8,105,Django cookiecutter starter project template.,2013-03-04T14:20:43Z,191,Python,2023-06-10T22:18:40Z,15,3,1,105,2,2,0,7,74,73,79,79,86,71,8
woltapp/wolt-python-package-cookiecutter,41,221,Cookiecutter for rapidly creating modern & high-quality Python packages,2021-06-18T08:25:27Z,2030,Python,2023-10-22T19:16:06Z,41,13,1,221,2,2,0,5,82,81,87,87,94,79,41
zillionare/python-project-wizard,42,104,"A tool for creating skeleton python project, built with popular develop tools and conform to best practice.",2021-04-10T14:46:32Z,1080,Python,2023-10-13T12:27:39Z,89,3,1,104,2,2,17,77,74,73,79,79,86,71,42
